Level,Type,Holdout Repeat,Visit,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn
sample,Institute,0,Screen,0.9285714285714286,0.8461538461538461,0.8333333333333334,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[inf, 0.9951839447021484, 0.7591568231582642, 0.7436277270317078, 0.5140100717544556, 0.4742876887321472, 0.28846195340156555, 0.0084070460870862]",5,6,1,1
sample,Institute,0,Day 0,0.9166666666666667,0.75,0.7272727272727273,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.16666666666666666, 0.5, 0.5, 1.0, 1.0]","[inf, 0.9326826930046082, 0.6756483316421509, 0.6654231548309326, 0.17284666001796722, 0.0023811240680515766]",4,5,1,2
sample,Institute,0,Adj Wk 1,0.8500000000000001,0.7777777777777778,0.8,"[0.0, 0.0, 0.0, 0.75, 0.75, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9923491477966309, 0.7494849562644958, 0.10977066308259964, 0.03708955645561218, 0.005113102030009031]",4,3,1,1
sample,Institute,0,Overall,0.8961937716262977,0.7941176470588235,0.7878787878787878,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.6470588235294118, 0.6470588235294118, 1.0]","[0.0, 0.058823529411764705, 0.5882352941176471, 0.5882352941176471, 0.6470588235294118, 0.6470588235294118, 0.7647058823529411, 0.7647058823529411, 0.9411764705882353, 0.9411764705882353, 1.0, 1.0]","[inf, 0.9951839447021484, 0.7494849562644958, 0.7436277270317078, 0.6756483316421509, 0.6654231548309326, 0.5140100717544556, 0.4742876887321472, 0.17284666001796722, 0.04073886573314667, 0.03708955645561218, 0.0023811240680515766]",13,14,3,4
sample,Institute,1,Screen,0.9285714285714286,0.8,0.8421052631578947,"[0.0, 0.0, 0.0, 0.2857142857142857, 0.2857142857142857, 1.0]","[0.0, 0.125, 0.75, 0.75, 1.0, 1.0]","[inf, 0.9949721693992615, 0.7691320180892944, 0.7418459057807922, 0.7183408737182617, 0.008838019333779812]",8,4,3,0
sample,Institute,1,Day 0,0.8541666666666667,0.7142857142857143,0.7777777777777778,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 1.0]","[0.0, 0.125, 0.5, 0.5, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]","[inf, 0.9971169233322144, 0.934605598449707, 0.9076597094535828, 0.7906373143196106, 0.7609187364578247, 0.6436479091644287, 0.5953348875045776, 0.33384862542152405, 0.008203405886888504]",7,3,3,1
sample,Institute,1,Adj Wk 1,0.95,0.7777777777777778,0.8,"[0.0, 0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9992339611053467, 0.8144577145576477, 0.601196825504303, 0.2110099345445633, 0.006247322075068951]",4,3,1,1
sample,Institute,1,Overall,0.9103641456582633,0.7631578947368421,0.8085106382978723,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.23529411764705882, 0.23529411764705882, 0.4117647058823529, 0.4117647058823529, 1.0]","[0.0, 0.047619047619047616, 0.47619047619047616, 0.47619047619047616, 0.7619047619047619, 0.7619047619047619, 0.9047619047619048, 0.9047619047619048, 1.0, 1.0]","[inf, 0.9992339611053467, 0.934605598449707, 0.9076597094535828, 0.7691320180892944, 0.7418459057807922, 0.6436479091644287, 0.5953348875045776, 0.2110099345445633, 0.006247322075068951]",19,10,7,2
sample,Institute,2,Screen,0.9523809523809524,0.7692307692307693,0.8,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9976082444190979, 0.9044654965400696, 0.7294270396232605, 0.4625890851020813, 0.0008957720128819346]",6,4,2,1
sample,Institute,2,Day 0,0.8285714285714285,0.75,0.8,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0, 1.0]","[inf, 0.9981745481491089, 0.9626610279083252, 0.9276069402694702, 0.4718499779701233, 0.0046789273619651794]",6,3,2,1
sample,Institute,2,Adj Wk 1,0.9,0.7777777777777778,0.8,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9993893504142761, 0.8990700244903564, 0.1820451021194458, 0.14799228310585022, 0.002777890767902136]",4,3,1,1
sample,Institute,2,Overall,0.9052631578947368,0.7647058823529411,0.8,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 1.0]","[0.0, 0.05263157894736842, 0.5789473684210527, 0.5789473684210527, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[inf, 0.9993893504142761, 0.9493453502655029, 0.9276069402694702, 0.8232680559158325, 0.8098185062408447, 0.8091807961463928, 0.647307276725769, 0.4625890851020813, 0.1820451021194458, 0.14799228310585022, 0.0008957720128819346]",16,10,5,3
