Original Institue Holdout and Pre-HoldOut,,,,,,,,,,,,,,,,,,,,,,,,
,accuracy,f1,precision,recall,balanced_ac,roc_auc,tn,fp,fn,tp,roc_curve,fold,,,,,,,,,,,,
,0.91666667,0.88888889,1,0.8,0.9,0.97142857,7,0,1,4,"{'fpr': [0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0], 'tpr': [0.0, 0.2, 0.8, 0.8, 1.0, 1.0], 'thresholds': [inf, 0.9860054850578308, 0.8330188989639282, 0.1200002133846283, 0.06688526272773743, 0.00495597068220377]}",MDS_0,,,,,,,,,,,,
,0.91666667,0.90909091,0.83333333,1,0.92857143,0.94285714,6,1,0,5,"{'fpr': [0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0], 'tpr': [0.0, 0.2, 0.6, 0.6, 1.0, 1.0], 'thresholds': [inf, 0.9986116290092468, 0.8343177437782288, 0.7003656029701233, 0.5890970230102539, 0.004278682172298431]}",MDS_1,,,,,,,,,,,,
,0.91666667,0.90909091,0.83333333,1,0.92857143,0.94285714,6,1,0,5,"{'fpr': [0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0], 'tpr': [0.0, 0.2, 0.6, 0.6, 1.0, 1.0], 'thresholds': [inf, 0.999869704246521, 0.9987140893936157, 0.8766754865646362, 0.6854403018951416, 0.0003496627614367753]}",MDS_2,,,,,,,,,,,,
,0.81818182,0.75,0.75,0.75,0.80357143,0.96428571,6,1,1,3,"{'fpr': [0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0], 'tpr': [0.0, 0.25, 0.75, 0.75, 1.0, 1.0], 'thresholds': [inf, 0.9956076145172119, 0.9933165907859802, 0.560509204864502, 0.39218342304229736, 0.00012330786557868123]}",MDS_3,,,,,,,,,,,,
,0.81818182,0.75,0.75,0.75,0.80357143,0.96428571,6,1,1,3,"{'fpr': [0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0], 'tpr': [0.0, 0.25, 0.75, 0.75, 1.0, 1.0], 'thresholds': [inf, 0.9500640034675598, 0.686935305595398, 0.5935903787612915, 0.40277478098869324, 0.0050756908021867275]}",MDS_4,,,,,,,,,,,,
,1,1,1,1,1,1,7,0,0,4,"{'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.25, 1.0, 1.0], 'thresholds': [inf, 0.9988729357719421, 0.7461830973625183, 0.02200757898390293]}",MDS_5,,,,,,,,,,,,
,1,1,1,1,1,1,7,0,0,4,"{'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.25, 1.0, 1.0], 'thresholds': [inf, 0.9997767210006714, 0.7965012192726135, 0.002336971927434206]}",MDS_6,,,,,,,,,,,,
,0.90909091,0.88888889,0.8,1,0.92857143,1,6,1,0,4,"{'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.25, 1.0, 1.0], 'thresholds': [inf, 0.9996584057807922, 0.7852235436439514, 0.0008706845110282302]}",MDS_7,,,,,,,,,,,,
,0.72727273,0.66666667,0.6,0.75,0.73214286,0.89285714,5,2,1,3,"{'fpr': [0.0, 0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 1.0], 'tpr': [0.0, 0.25, 0.75, 0.75, 1.0, 1.0], 'thresholds': [inf, 0.9991910457611084, 0.9551931619644165, 0.4019540846347809, 0.20689961314201355, 0.010299086570739746]}",MDS_8,,,,,,,,,,,,
,1,1,1,1,1,1,6,0,0,5,"{'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.2, 1.0, 1.0], 'thresholds': [inf, 0.9999236464500427, 0.8417431712150574, 0.0006867671618238091]}",MDS_9,,,,,,,,,,,,
