Original Institue Holdout and Pre-HoldOut,,,,,,,,,,,,,,,,,,,,
split_no,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,,,,,,,,,,,,,,
Institute Hold-Out,0.812,0.842,0.8,0.889,0.802,0.841,,,,,,,,,,,,,,
Pre-Hold Out,0.9,0.889,1,0.8,0.9,0.92,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Repeat Institute Hold,,,,,,,,,,,,,,,,,,,,
Type ->,Holdout Institutes,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn,Type ->,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn
InstituteHold,"1,2",0.899122807,0.709677419,0.727272727,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.47368421052631576, 0.47368421052631576, 1.0]","[0.0, 0.08333333333333333, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 1.0, 1.0]",12,10,9,0,PreHold,0.84,0.7,0.727272727,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 1.0]","[0.0, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0, 1.0]",4,3,2,1
InstituteHold,"1,3",0.921568627,0.75862069,0.588235294,"[0.0, 0.0, 0.0, 0.11764705882352941, 0.11764705882352941, 0.4117647058823529, 0.4117647058823529, 1.0]","[0.0, 0.08333333333333333, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",5,17,0,7,PreHold,0.68,0.4,0,"[0.0, 0.2, 0.2, 0.4, 0.4, 1.0]","[0.0, 0.0, 0.4, 0.4, 1.0, 1.0]",0,4,1,5
InstituteHold,"1,4",0.894736842,0.823529412,0.785714286,"[0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.8421052631578947, 0.8421052631578947, 1.0]","[0.0, 0.06666666666666667, 0.6, 0.6, 0.8, 0.8, 0.8666666666666667, 0.8666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0, 1.0]",11,17,2,4,PreHold,0.76,0.6,0.6,"[0.0, 0.0, 0.0, 0.6, 0.6, 1.0]","[0.0, 0.2, 0.6, 0.6, 1.0, 1.0]",3,3,2,2
InstituteHold,"1,5",0.882352941,0.625,0.333333333,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.5882352941176471, 0.5882352941176471, 0.7647058823529411, 0.7647058823529411, 1.0]","[0.0, 0.06666666666666667, 0.4, 0.4, 0.8666666666666667, 0.8666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0, 1.0]",3,17,0,12,PreHold,0.52,0.4,0,"[0.0, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0]","[0.0, 0.0, 0.0, 0.8, 0.8, 1.0, 1.0]",0,4,1,5
InstituteHold,"1,6",0.809375,0.75,0.64,"[0.0, 0.0, 0.0, 0.05, 0.05, 0.1, 0.1, 0.25, 0.25, 0.55, 0.55, 0.85, 0.85, 0.9, 0.9, 1.0]","[0.0, 0.0625, 0.25, 0.25, 0.625, 0.625, 0.75, 0.75, 0.8125, 0.8125, 0.875, 0.875, 0.9375, 0.9375, 1.0, 1.0]",8,19,1,8,PreHold,0.84,0.5,0,"[0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.2, 0.2, 1.0, 1.0]",0,5,0,5
